Čepované Pivo		
Excelent 11⁰ 0,5l	29,-	
Excelent 11⁰ 0,3l	19,-	
Plzeňský Prazdroj 0,5l	39,-	
Plzeňský Prazdroj 0,3l	24,-	
Birell 0,3l lahvové	29,-	
Birell ochucený lahvové	35,-	
Frisco lahvové	35,-	
Fénix lahvové	35,-	
Kingswood cider 0,3l čepovaný	45,-	
Víno		
Bílé rozlévané 0,2l	42,-	
Červené rozlévané 0,2l	42,-	
Porto ruby 0,1l	70,-	
Sherry 0,1l	60,-	(Lahve dle nabídky)
Bohemia sekt 0,75l demi sec	250,-	
Bohemia sekt 0,75l brut	250,-	
Nealko		
Kofola 0,5l	25,-	
Kofola 0,3l	15,-	
Domácí limonáda do sklenky	30,-	
Domácí limonáda do džbánku	60,-	(okurka,citrus,ananas...)
Domácí ledový čaj	45,-	
RC Cola 0,25l sklo	35,-	
RC Cola light 0,25l sklo	35,-	
Orangina 0,25l sklo	35,-	
Vinea bílá 0,25l sklo	35,-	
Vinea červená 0,25l sklo	35,-	
Tonic Chito 0,25l sklo	35,-	
Ginger beer 0,33l sklo	35,-	
Snipp džus 0,2l sklo	38,-	(jablko,pomeranč,jahoda,mango..)
Rajec 0,33l sklo	25,-	
Semtex 0,25l	40,-	
Kofola s guaranou 0,25l	40,-	
Teplé nápoje		
Espresso	35,-	
Espresso extra shot	15,-	
Espresso special dle nabídky	40,-	
Cappuccino	45,-	
Latté	50,-	
Čaj Harney & sons	35,-	(dle nabídky)
Horká čokoláda	50,-	(71%, 44% a bílá 30%)
Svařené víno	42,-	
(č.perníkové, b.zázvorové)	45,-	
Medovina 0,1	60,-	(mandlová, hořká, zlatá)
Rum 0,04l		
Flor de Cañal	45,-	
Bandita	45,-	
Bacardi Oakheart Spiced	45,-	
Cortez Blanco Rum	55,-	
Cortez Oro Rum	55,-	
Cortez Spiced Rum	55,-	
Malibu	50,-	
Sailor Jerry	60,-	
Matuzalem clasico 10let	70,-	
Kraken Black Spiced	80,-	
Legendario Elixir 7let	80,-	
Malteco 10 let	80,-	
Diplomatico	120,-	
Zacapa 23 let	140,-	
Whiskey 0,04l		
Jameson	60,-	
Tullamore Dew	60,-	
Johnnie Walker	60,-	
Bushmills	60,-	
Four Roses	60,-	
Jack Danieľs	70,-	
Jack Danieľs Honey	70,-	
Jim Beam	70,-	
Glenfiddich 12 let	120,-	
Vodka 0,04l		
Sobieski	45,-	
Ruský standard	55,-	
Pálenka Žufánek 0,04l		
Slivovice	60,-	
Ořechovice	60,-	
Hruškovice	60,-	
Meruňkovice	60,-	
Medovice	60,-	
Vínovice	60,-	
Tequila 0,04l		
Jose Cuervo Classica	70,-	
Jose Cuervo Especial Reposado	70,-	
Ostatní alkohol 0,04l		
Gin Grenall's	60,-	
Hruškový likér	60,-	
Sambuca Antica	60,-	
Absinth Bestie 60%	60,-	
Absinth Bestie 70%	70,-	
Metaxa *****	50,-	
Campari bitter	60,-	
Martini extra dry 0,1l	60,-	
Martini rosso 0,1l	60,-	
Becherovka	45,-	
Jagermaister	60,-	
Bailey's	60,-	
Berentzen Saurer Apfel	35,-	
Berentzen Wild Kirsch	35,-	
Zelená Peprmint likér	35,-	
Griotka Višňový likér	35,-	
Koktejly		
Cuba Libre	70,-	(Blanco Rum, cola, limeta)
Sex on the beach	90,-	(vodka, Peach tree, pom.juice, grenadina)
Sexappeal	80,-	(vodka, Peach tree, ananas juice, brusinka juice)
Tequila Sunrise	90,-	(tequila, citron.šťáva, pom.juice, grenadina)
Wake Up	60,-	(Sambuca Antica, espresso)
High Society	90,-	(gin, Peach tree, Campari, cukr, grep juice)
Mojito	90,-	(Cortez Blanco Rum, mata,limet.šťáva, třtinový cukr, soda)
Bloody Mary	80,-	(vodka, citron.šťáva, rajčatový juice worchester, tabasco, sůl, pepř)
Cosmopolitan	90,-	(vodka, triple sec, limet sirup, citron.štáva, brusinka. juice)
Pina Colada	90,-	(Cortez Blanco Rum, kokos.sirup, smetana, ananas.juice)
Red Dragon	80,-	(medovina, limet.šťáva, zázvor.sirup, Red Espresso)(Jim Beam, máta, cukr, soda)
Long Island Ice Tea	140,-	(Cortez Blanco Rum, gin, vodka, tequila, citorn.šťáva, cola)
Amaretto & soda	60,-	(Amaretto, soda, citron)
Gin Fizz	85,-	(gin, cukr, citron.šťáva,soda)
Gin s tonikem	70,-	(Gin, tonik, citron)
B52	70,-	(creme de café, baileys, pom.likér)
B53	70,-	(creme de café, baileys, vodka)
B54	70,-	(creme de café, baileys, amaretto)
B55	70,-	(creme de café, baileys, absinth)
B57	70,-	(creme de café, baileys, sambuca)
Kyblíky (8 drinků v kyblíku)		
Mojito	550,-	(Cortez Blanco Rum, mata,limet.šťáva, třtinový cukr, soda)
Long Island Ice Tea	980,-	(Cortez Blanco Rum, gin, vodka, tequila, citorn.šťáva, cola)
Cuba Libre	450,-	(Blanco Rum, cola, limeta)
Sex on the beach	600,-	(vodka, Peach tree, pom.juice, grenadina)
